event_message,event_type,function_id,id,level,timestamp
"[import-emails] Handling OPTIONS preflight
",Log,1bcdf3ea-3000-4007-961c-a26c44fd3508,f6e286d5-181b-4b07-9db6-d3bf9a090e04,info,1762082777898000
"Listening on http://localhost:9999/
",Log,1bcdf3ea-3000-4007-961c-a26c44fd3508,70e160d0-2877-4be3-b050-d16207415aa9,info,1762082777896000
"Listening on http://localhost:9999/
",Log,1bcdf3ea-3000-4007-961c-a26c44fd3508,152569d1-2c4a-478e-bcd3-a8a825de8342,info,1762082777896000
booted (time: 56ms),Boot,1bcdf3ea-3000-4007-961c-a26c44fd3508,69dbbad8-f35e-45f2-8f4c-31dbc18c18c3,log,1762082777891000
booted (time: 56ms),Boot,1bcdf3ea-3000-4007-961c-a26c44fd3508,9b76c86c-e0c2-475f-8269-60475a0c113e,log,1762082777891000
shutdown,Shutdown,1bcdf3ea-3000-4007-961c-a26c44fd3508,481f1d51-7915-4a33-88f9-0e6e7cc5bf3d,log,1762082577894000
"[import-emails] Request received: OPTIONS http://gutmosmrbvnidvdooqdt.supabase.co/import-emails
",Log,1bcdf3ea-3000-4007-961c-a26c44fd3508,5b625c80-d460-4822-93c4-51bb6e1d3425,info,1762082377868000
"[import-emails] Handling OPTIONS preflight
",Log,1bcdf3ea-3000-4007-961c-a26c44fd3508,de4d7d40-fb2b-4e9c-9792-be8ae83c170f,info,1762082377868000
"Listening on http://localhost:9999/
",Log,1bcdf3ea-3000-4007-961c-a26c44fd3508,4fe12e09-e8d1-4241-9395-132763b5d085,info,1762082377864000
booted (time: 89ms),Boot,1bcdf3ea-3000-4007-961c-a26c44fd3508,8a83d98e-9737-4ae4-9ba2-cfad6f9b49bd,log,1762082377858000
